SYMBOL,DATE,itime,rtime,iprice
AA,20130102,9:30:00,,8.88
AA,20130102,9:45:00,9:44:59,8.86
AA,20130102,10:00:00,9:59:58,8.893
AA,20130102,10:15:00,10:14:57,8.913
AA,20130102,10:30:00,10:29:59,8.9
AA,20130102,10:45:00,10:44:59,8.885
AA,20130102,11:00:00,10:59:57,8.88
AA,20130102,11:15:00,11:14:54,8.91
AA,20130102,11:30:00,11:29:57,8.92
AA,20130102,11:45:00,11:44:57,8.92
AA,20130102,12:00:00,11:59:56,8.89
AA,20130102,12:15:00,12:14:58,8.915
AA,20130102,12:30:00,12:29:58,8.9242
AA,20130102,12:45:00,12:44:50,8.91
AA,20130102,13:00:00,12:59:58,8.895
AA,20130102,13:15:00,13:14:58,8.9
AA,20130102,13:30:00,13:29:59,8.885
AA,20130102,13:45:00,13:44:58,8.9
AA,20130102,14:00:00,13:59:55,8.9
AA,20130102,14:15:00,14:14:57,8.92
AA,20130102,14:30:00,14:29:57,8.925
AA,20130102,14:45:00,14:44:59,8.925
AA,20130102,15:00:00,14:59:59,8.935
AA,20130102,15:15:00,15:14:58,8.945
AA,20130102,15:30:00,15:29:59,8.945
AA,20130102,15:45:00,15:44:58,8.935
AA,20130102,16:00:00,15:59:59,8.97
AA,20130102,16:15:00,16:14:18,8.98
AA,20130103,9:30:00,16:29:56,8.96
AA,20130103,9:45:00,9:44:58,9
AA,20130103,10:00:00,9:59:55,8.965
AA,20130103,10:15:00,10:14:56,9
AA,20130103,10:30:00,10:29:59,9.01
AA,20130103,10:45:00,10:44:59,9.03
AA,20130103,11:00:00,10:59:58,9.084
AA,20130103,11:15:00,11:14:56,9.1
AA,20130103,11:30:00,11:29:54,9.115
AA,20130103,11:45:00,11:44:59,9.09
AA,20130103,12:00:00,11:59:57,9.1099
AA,20130103,12:15:00,12:14:42,9.11
AA,20130103,12:30:00,12:29:57,9.1
AA,20130103,12:45:00,12:44:58,9.11
AA,20130103,13:00:00,12:59:58,9.127
AA,20130103,13:15:00,13:14:59,9.14
AA,20130103,13:30:00,13:29:58,9.15
AA,20130103,13:45:00,13:44:55,9.1301
AA,20130103,14:00:00,13:59:56,9.14
AA,20130103,14:15:00,14:14:58,9.12
AA,20130103,14:30:00,14:29:58,9.09
AA,20130103,14:45:00,14:44:58,9.07
AA,20130103,15:00:00,14:59:54,9.105
AA,20130103,15:15:00,15:14:59,9.085
